id,latitude,longitude,addresses,qv_list,svg_x_whole,svg_y_whole,svg_x_njesia,svg_y_njesia,in_njesia,njesia_name
69,41.328532121354826,19.83242639279516,"Shkolla 9-vjeçare  ""Ali Demi""",1691/00,0.203928,0.210812,0.063890,0.044703,true,Njësia 1
70,41.32507285598724,19.808648412367674,"Shkolla e Mesme ""Arben Broci""; Shkolla e Mesme ""Arben Broci"" Rr.""Besim Imami""","1903/00, 1905/00, 1905/01, 1907/00, 1907/01",0.186069,0.214271,0.046036,0.048163,true,Njësia 7
71,41.39721878280215,19.776331354902506,"Shkolla 9-Vjeçare ''Haxhi Korra''Çerkezë ,sipas vendimit nr.01,Datë,09.01.2019,të Administratorit të Njesise Administrative Zall-Herr","2056/00, 2056/01, 2056/02",0.161796,0.142125,0.021769,-0.023983,false,
72,41.30285995972829,19.843815966844556,"Shkolla 9 Vjeçare ""Qemal Ataturku"",Rr.''Muhamed Çani''","1726/00, 1737/00, 1737/01, 1738/00, 1738/01, 1739/00, 1739/01",0.212482,0.236484,0.072443,0.070376,true,Njësia 2
73,41.32011629534405,19.79358740763239,"Kopshti 45,Rr.""Irfan Tomini""","1850/00, 1850/01, 1850/02",0.174757,0.219228,0.034726,0.053119,true,Njësia 5
74,41.34834220647953,19.746991270294053,Shkolla 9-vjeçare Yrshek,"1542/00, 1542/01",0.139759,0.191002,-0.000262,0.024893,false,
75,41.27770038213241,19.717422068301534,"Pezë Helmës, Shkolla ""Myrvete Peza""; Peze Helmes, Shkolla","2102/00, 2102/01, 2102/02",0.117551,0.261644,-0.022466,0.095535,false,
76,41.34636796063283,19.823399967665246,"Shkolla ""Sevasti Qiriazi"",Objekt Publik","1944/00, 1944/01, 1944/02, 1944/03, 1945/00, 1945/01",0.197148,0.192976,0.057113,0.026868,true,Njësia 8
77,41.31305069463401,19.766161365811012,"Shkolla 9-vjeçare ""Musine Kokalari""","1868/00, 1868/01, 1869/00, 1869/01",0.154158,0.226294,0.014132,0.060185,true,Njësia 6
78,41.32033985969746,19.783092929564553,"Shkolla ""Kongresi Manastirit""","1876/01, 1876/02, 1879/00, 1879/01, 1879/02, 1879/03",0.166874,0.219004,0.026846,0.052896,true,Njësia 6
79,41.312795796136044,19.808949346890262,"Parku Olimpik,Zyrat e Agjensisë Parqeve dhe Rekreacionit,Rr.Liman Kaba.","2084/00, 2084/01, 2084/02, 2084/04, 2084/05, 2084/06, 2084/07, 2084/08",0.186295,0.226548,0.046262,0.060440,true,Njësia 5
80,41.23567798460245,19.928179092446694,"Ibe Poshte , Shkolla e mesme",1607/00,0.275845,0.303666,0.135791,0.137558,false,
81,41.33959005398761,19.84483994861516,"Shkolla 9-vjeçare ""Hasan Prishtina""        Rruga ""Qemal Stafa""(Varri I Bamit)","1757/00, 1757/01",0.213251,0.199754,0.073212,0.033646,true,Njësia 3
82,41.31724898421072,19.81635796025321,"Fakulteti Drejtesise,Rr ""Milto Tutulani""","1822/00, 1822/01, 1823/00",0.191859,0.222095,0.051825,0.055987,true,Njësia 5
83,41.32987727960411,19.81103919462909,"Sh ""A.Rustemi""","1991/00, 1992/00, 1992/01, 1993/00, 1994/00, 1994/01",0.187864,0.209467,0.047831,0.043358,true,Njësia 10
84,41.33258013519522,19.806406975278836,"Shkolla ""Q Stafa""","1995/00, 1998/00, 1999/00, 1999/01",0.184385,0.206764,0.044353,0.040655,true,Njësia 10
85,41.26679219297633,19.793910648825666,"Arbane, Shkolla",2121/00,0.174999,0.272552,0.034969,0.106443,false,
86,41.313191935595576,19.771594598875453,Kopshti Nr.27,"1862/00, 1862/01",0.158238,0.226152,0.018212,0.060044,true,Njësia 6
87,41.331180718165285,19.839362204434256,"Shkolla 9-vjecare ""Kushtrimi i Lirisë"" Ali Demi","1695/00, 1695/01",0.209137,0.208164,0.069098,0.042055,true,Njësia 1
88,41.32413647644151,19.797176620676442,"Ish parku, ndërtesë private Shpresa Steaj","1959/00, 1959/01",0.177452,0.215208,0.037422,0.049099,true,Njësia 7
89,41.336440140898205,19.830599627712594,"Shkolla ""4 Dëshmorët""","1930/00, 1930/01",0.202555,0.202904,0.062519,0.036795,true,Njësia 8
90,41.32350820125961,19.81002889300483,"Çerdhja nr.47 Rr. ""Nikolla Jorga""","1901/00, 1901/01",0.187105,0.215836,0.047072,0.049727,true,Njësia 7
91,41.314893763379494,19.770751181678435,"Shkolla ""Myslym Keta""","1541/01, 1857/00, 1857/01, 1857/02, 1858/00, 1858/01",0.157605,0.224451,0.017579,0.058342,true,Njësia 6
92,41.312955350245154,19.765544239350543,"Shkolla ""Musine Kokalari""","1867/01, 1870/00, 1870/01, 1870/02",0.153694,0.226389,0.013669,0.060280,true,Njësia 6
93,41.357977544074046,19.762228012369164,"Shkolla 9-vjeçare ""Kolë Jakova"", Rr. ""Princ Vidi"" B.Lumi","2025/00, 2025/01, 2026/00, 2026/01, 2027/01",0.151203,0.181367,0.011179,0.015258,true,Njësia 11
94,41.318833839343235,19.796730709991778,"Shkolla""26 Nentori"",Rr.""Nuçi Naçi""","1848/00, 1848/01, 1851/00, 1851/01",0.177117,0.220510,0.037087,0.054402,true,Njësia 5
95,41.36327671792997,19.7886488502026,"Shkolla 9-vjeçare, ""Isa Boletini"", Rr.""Gramozi"" K.Kamëz","2019/00, 2019/01",0.171047,0.176068,0.031018,0.009959,false,
96,41.36172053620369,19.770611143741124,"Shkolla ''Nënë Tereza'', Rruga ''Paisi Vodica''.","2030/00, 2030/01, 2031/00",0.157500,0.177624,0.017474,0.011515,true,Njësia 11
97,41.338305048999665,19.802039633263778,"Qëndra''Don Bosko'', Rr.''Don Bosko''","2004/00, 2004/01, 2004/02, 2014/00, 2014/01, 2014/02",0.181105,0.201039,0.041073,0.034931,true,Njësia 11
98,41.340488519975494,19.834999750467873,"Shkolla ""Skënder Çaçi"",Objekt Publik","1931/00, 1936/00, 1936/01, 1940/00, 1940/01",0.205860,0.198856,0.065823,0.032747,true,Njësia 3
99,41.33903975444982,19.89435202028567,"Lanabregas,'Ambulanca e fshatit'","1627/00, 1627/02",0.250438,0.200305,0.110390,0.034196,false,
100,41.33948533507095,19.84462537189322,"Shkolla 9 vjeçare ""Hasan Prishtina"" Rruga ""Qemal Stafa""(Varri I Bamit)","1760/00, 1760/01, 1760/02",0.213090,0.199859,0.073051,0.033750,true,Njësia 3
101,41.32755995035617,19.829657108139482,"Shkolla 9-vjecare ""1 Maji""","1693/00, 1693/01",0.201848,0.211784,0.061811,0.045676,true,Njësia 1
102,41.31931251667821,19.790898121630864,"Shkolla ""1 Qershori""","1878/00, 1878/01, 1880/00, 1880/01",0.172737,0.220032,0.032707,0.053923,true,Njësia 6
103,41.33073515980906,19.82496349071045,"Shkolla 9 Vjeçare ""Fan Noli"" Rr.""Qemal Stafa""","1732/00, 1732/01, 1743/00, 1743/01, 1744/00, 1922/00",0.198322,0.208609,0.058287,0.042500,true,Njësia 2
104,41.337977918824734,19.798305825764512,"Çerdhja nr. 30,Kati 1, Rruga ""Pandi Dardha""","2003/00, 2003/01, 2003/02",0.178300,0.201366,0.038269,0.035258,true,Njësia 11
105,41.3484865866919,19.83397017856977,"Rruga ""Njazi Meka"" ,Kopeshti Nr 27","1798/00, 1798/01",0.205087,0.190858,0.065050,0.024749,true,Njësia 4
106,41.32191086362835,19.825384402581125,"Liceu Artistik ''Jordan Misja'', Rr. ""Elbasanit""","1729/01, 1729/02",0.198638,0.217433,0.058603,0.051325,true,Njësia 2
107,41.333575536221126,19.80178993141777,"Pallati i Sportit ""Asllan Rusi""","1887/00, 1887/01, 1887/02, 1888/01, 1888/02, 1888/03",0.180917,0.205769,0.040886,0.039660,true,Njësia 7
108,41.34512136284131,19.844740765812503,"Shkolla ""Gjon Buzuku""","1788/00, 1788/01, 1790/00, 1790/01",0.213177,0.194223,0.073137,0.028114,true,Njësia 4
109,41.34617037913275,19.83811365654913,"Rruga  ""Niko  Avrami "" Shkolla "" Bajram Curri ""","1804/00, 1806/00, 1806/01, 1806/02, 1807/00, 1807/01",0.208199,0.193174,0.068161,0.027065,true,Njësia 4
110,41.32202070351083,19.837045650467076,"Shkolla 9-vjeçare Publike''Bashkim Fino'',Rruga ''Jorgjia Truja''","1609/00, 1716/01, 1716/02, 1717/00, 1717/01, 1718/00, 1718/01, 1719/00, 1721/00",0.207397,0.217324,0.067359,0.051215,true,Njësia 2
111,41.33099579130202,19.80311461977865,Universiteti i Sporteve,"1914/00, 1914/01, 1915/00, 1915/01, 1916/00, 1916/01",0.181912,0.208348,0.041880,0.042240,true,Njësia 7
112,41.33825540331634,19.763678873222858,"''Shkolla 9-vjeçare Kasem Shima'',Mëzez Kodër.","1539/00, 1539/01, 1539/02, 1539/03",0.152293,0.201089,0.012268,0.034980,false,
113,41.32813475217495,19.805767700275844,Kopshti Nr.2,"1912/00, 1912/01, 1912/02",0.183905,0.211210,0.043873,0.045101,true,Njësia 7
114,41.33743109420173,19.833597488567243,"Shkolla ""Çajupi"" Rruga""Kongresi I Manastirit""","1766/00, 1766/02",0.204807,0.201913,0.064770,0.035804,true,Njësia 3
115,41.32757032329639,19.817819621092394,"SH ""K KRISTOFORIDHI""","1982/00, 1982/01, 1983/00, 1984/00",0.192957,0.211774,0.052922,0.045665,true,Njësia 10
116,41.334090379858594,19.775563412066457,"Kashar  Qender ,Qender Shendetesore","1533/00, 1533/01",0.161219,0.205254,0.021192,0.039145,false,
117,41.30117875226238,19.744037929040687,"Vaqar, Shkolla e Mesme Bashkuar Bedri Llagami",2110/00,0.137541,0.238166,-0.002480,0.072057,false,
118,41.32854017801667,19.832598054172713,"Shkolla 9-vjeçare ""Ali Demi""","1691/01, 1697/01",0.204056,0.210804,0.064019,0.044695,true,Njësia 1
119,41.33763561557134,19.82640911184526,"Shkolla ""Misto Mame"",Objekt Publik","1932/00, 1932/01",0.199408,0.201709,0.059372,0.035600,true,Njësia 8
120,41.33543096870687,19.81143108125148,Qendra e Formimit Profesional,"1873/01, 1896/01, 1958/00, 1958/01, 1961/00, 1961/01, 1961/02",0.188159,0.203913,0.048125,0.037805,true,Njësia 9
121,41.27074406273193,20.025721422958295,"Kllojke, Shkolla e mesme",1612/00,0.349106,0.268600,0.209035,0.102492,false,
122,41.38484247817358,19.858335271435458,"Ferraj, Shkolla",1618/00,0.223387,0.154502,0.083345,-0.011607,false,
123,41.315051938307676,19.878739306320647,"Shkolla e mesme , Farke e Madhe","2077/00, 2077/01",0.238712,0.224292,0.098667,0.058184,false,
124,41.32577821039008,19.7992890695751,"""Çerdhja SFI""",1893/00,0.179039,0.213566,0.039008,0.047457,true,Njësia 7
125,41.34555877881297,19.858328768946574,"Shkolla 9 vjeçare ""Luigj Gurakuqi""  Rruga ""Qemal Stafa""","1761/00, 1761/01, 1761/02, 1785/00",0.223382,0.193785,0.083340,0.027677,false,
126,41.389398561803155,19.826942643582345,"Shkolla e Mesme e Bashkuar Zall-Herr.Sipas Vendimit Nr.01,datë.09.01.2019,të Administratorit Njësia Aministrative Zall-Herr","2052/00, 2052/01",0.199809,0.149946,0.059773,-0.016163,false,
127,41.324780214033034,19.803724208139386,"Shkolla ""Sabaudin Gabrani"" , Rr. ""Muhamet Gjollesha""","1899/00, 1899/01",0.182370,0.214564,0.042338,0.048455,true,Njësia 7
128,41.317145307317794,19.789384415811192,"Shkolla  ""Karl Gega""","1877/00, 1877/01, 1877/02",0.171600,0.222199,0.031570,0.056090,true,Njësia 6
129,41.313220372084636,19.883575428478892,"Ambulanca,Farke e Vogel",2079/02,0.242344,0.226124,0.102298,0.060015,false,
130,41.334670154050386,19.822632038828502,"Shkolla ""Siri Kodra"",Objekt Publik","1933/00, 1933/01, 1937/00, 1937/01",0.196571,0.204674,0.056536,0.038565,true,Njësia 8
131,41.342408420817534,19.832969731679693,"Rr "" Dibres"" Fakulteti i Mjekësisë","1813/00, 1813/01, 1813/02, 1813/03, 1813/04",0.204336,0.196936,0.064298,0.030827,true,Njësia 4
132,41.3451938542966,19.844966071370546,"Rruga ''Aleksander Moisiu'', Shkolla ""Gjon Buzuku","1785/01, 1785/02, 1786/00, 1786/01, 1787/00, 1787/01, 1797/00, 1885/02",0.213346,0.194150,0.073306,0.028042,true,Njësia 4
133,41.429339645502,19.935837289200663,Shkolla e Mesme Bahri Nela Zall-Bastar,1665/00,0.281597,0.110005,0.141541,-0.056104,false,
134,41.34591656519974,19.835725962981176,"Rruga  "" Niko Avrami ""  Kopeshti  Nr 25","1800/00, 1800/01",0.206406,0.193428,0.066368,0.027319,true,Njësia 4
135,41.3455217073308,19.836077799202858,"Rruga ""Niko Avrami "" Shkolla Ramazan Jarani","1799/00, 1799/01",0.206670,0.193823,0.066632,0.027714,true,Njësia 4
136,41.31998283721227,19.808448363958636,"Kopshti nr. 11 ,Rr ""Mustafa Qosja""","1838/00, 1838/01",0.185918,0.219361,0.045885,0.053253,true,Njësia 5
137,41.33425529880057,19.860022404434464,"Shkolla 9 Vjeçare ""Androkli Kostallari"" Shkozë","1682/00, 1682/01",0.224654,0.205089,0.084612,0.038980,true,Njësia 1
138,41.332448026478744,19.81385531977869,Kopshti Nr 36,"1765/00, 1950/00",0.189979,0.206896,0.049945,0.040788,true,Njësia 9
139,41.324961015337955,19.83551007973071,"Kopshti i fëmijëve ""Nënë Tereza"",Rr.''Besim Abdiu''","1715/00, 1715/01, 1715/02",0.206244,0.214383,0.066206,0.048275,true,Njësia 2
140,41.31708280068425,19.77071085417215,Kopshti Nr.38,"1874/00, 1874/01, 1874/02, 1874/03, 1876/00",0.157575,0.222261,0.017549,0.056153,true,Njësia 6
141,41.28752276774611,19.83940786329191,"Shkolla 9 vjeçare,Mjull-Bathore","2082/00, 2082/01",0.209171,0.251822,0.069133,0.085713,false,
